Roissys (villa des)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 1
Roland Garros (rue)	"Lundi, mercredi, vendredi matin"	Mardi matin	Jeudi matin	Secteur B	Secteur 2
Roses (villa des)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 1
Rosiers (villa des)	Lundi et vendredi soir	Mardi soir	Mercredi matin	Secteur B	Secteur 4
Sablons (allée des)	Lundi et vendredi soir	Mardi soir	Mercredi matin	Secteur B	Secteur 3
Sadi Carnot (rue)	Lundi et vendredi soir	Mardi soir	Mercredi matin	Secteur A	Secteur 3
Saint Exupéry (avenue)	"Lundi, mercredi, vendredi soir"	Mardi soir	Mercredi matin	Secteur A	Secteur 4
Samson (impasse)	Lundi et vendredi soir	Mardi soir	Mercredi matin	Secteur A	Secteur 3
Sarments (allée des)	Lundi et vendredi soir	Mardi soir	Mercredi matin	Secteur A	Secteur 3
Savoie (allée de la)	Lundi et vendredi soir	Mardi soir	Jeudi matin	Secteur B	Secteur 3
Savoie (petit sentier de la)					
côté allée de la Savoie	Lundi et vendredi soir	Mardi soir	Jeudi matin	Secteur B	Secteur 3
côté rue de la Savoie	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 3
Savoie (rue de la)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 3
Square (impasse du)	Lundi et vendredi soir	Mardi soir	Mercredi matin	Secteur B	Secteur 4
Stalingrad (boulevard)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 2
"n°1, 3, 15 et n°19 (crèche Les Maronniers)"	"Lundi, mercredi, vendredi matin"	Mardi matin	Jeudi matin	Secteur B	Secteur 2
Sully Prudhomme (rue)	"Lundi, mercredi, vendredi matin"	Mardi matin	Jeudi matin	Secteur B	Secteur 2
Suzanne (villa)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 2
Suzanne Fouche (allée)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 1
Traverse loup (allée du)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 1
Tybyrs (sentier des)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 1
Union (rue de l’)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 2
Vanves (boulevard de)	Lundi et vendredi matin	Mardi matin	Jeudi matin	Secteur B	Secteur 1
